       type        |                        move                        |            position            | id  | combo_list 
-------------------+----------------------------------------------------+--------------------------------+-----+------------
 Strike            | Inside Left Uppercut                               | Both Standing Clinch Range     |  38 | 
 Strike            | Inside Right Uppercut                              | Both Standing Clinch Range     |  39 | 
 Strike            | Left Muay Thai Elbow                               | Both Standing Clinch Range     |  41 | 
 Strike            | Left Short Uppercut From Sway Forward              | Both Standing Clinch Range     |  42 | 
 Strike            | Right Chopping Hook                                | Both Standing Clinch Range     |  43 | 
 Strike            | Right Muay Thai Elbow                              | Both Standing Clinch Range     |  46 | 
 Strike            | Right Short Uppercut from Sway Forward             | Both Standing Clinch Range     |  47 | 
 Strike            | Backstepping Right Straight                        | Both Standing Striking Range   |  51 | 
 Strike            | Backstep Right Hook from Switch Stance             | Both Standing Striking Range   |  50 | 
 Strike            | Brock's Right Straight                             | Both Standing Striking Range   |  52 | 
 Strike            | Chuck's Right Straight                             | Both Standing Striking Range   |  56 | 
 Strike            | Ducking Left Hook                                  | Both Standing Striking Range   |  57 | 
 Strike            | Ducking Right Hook                                 | Both Standing Striking Range   |  58 | 
 Strike            | Hendo's Right Back Fist                            | Both Standing Striking Range   |  62 | 
 Strike            | Hendo's Right Strong Straight                      | Both Standing Striking Range   |  63 | 
 Strike            | Jardine's Right Superman Punch                     | Both Standing Striking Range   |  64 | 
 Strike            | Jon Jones' Right Back Fist                         | Both Standing Striking Range   |  65 | 
 Strike            | Left Back Fist                                     | Both Standing Striking Range   |  67 | 
 Strike            | Left Flicking Jab                                  | Both Standing Striking Range   |  69 | 
 Strike            | Left Guarded Hook                                  | Both Standing Striking Range   |  70 | 
 Strike            | Left Hook from Sway Back                           | Both Standing Striking Range   |  73 | 
 Strike            | Left Hook from Sway Forward                        | Both Standing Striking Range   |  74 | 
 Strike            | Left Hook from Sway Left                           | Both Standing Striking Range   |  75 | 
 Strike            | Left Hook from Sway Right                          | Both Standing Striking Range   |  76 | 
 Strike            | Left Jab to Sway Back                              | Both Standing Striking Range   |  77 | 
 Strike            | Left Long Superman Punch                           | Both Standing Striking Range   |  79 | 
 Strike            | Left Over Hook                                     | Both Standing Striking Range   |  83 | 
 Strike            | Left Over Strong Hook                              | Both Standing Striking Range   |  84 | 
 Strike            | Left Punch from Kick Catch                         | Both Standing Striking Range   |  85 | 
 Strike            | Left Quick Superman Punch                          | Both Standing Striking Range   |  86 | 
 Strike            | Left Sidestepping Upper Jab                        | Both Standing Striking Range   |  89 | 
 Strike            | Left Spinning Back Fist                            | Both Standing Striking Range   |  90 | 
 Strike            | Left Strong Uppercut                               | Both Standing Striking Range   |  92 | 
 Strike            | Left Undercut                                      | Both Standing Striking Range   |  93 | 
 Strike            | Left Uppercut                                      | Both Standing Striking Range   |  95 | 
 Strike            | Left Upper Jab                                     | Both Standing Striking Range   |  94 | 
 Strike            | Lunging Left Hook                                  | Both Standing Striking Range   |  96 | 
 Strike            | Lunging Right Hook                                 | Both Standing Striking Range   |  97 | 
